Brand,Price,mpg,cylinders,horsepower,weight
chevrolet chevelle malibu,25561.59078,18,8,130,3504
buick skylark 320,24221.42273,15,8,165,3693
plymouth satellite,27240.84373,18,8,150,3436
amc rebel sst,33684.96888,16,8,150,3433
ford torino,20000,17,8,140,3449
ford galaxie 500,30000,15,8,198,4341
chevrolet impala,35764.3349,14,8,220,4354
plymouth fury iii,25899.46557,14,8,215,4312
pontiac catalina,32882.53714,14,8,225,4425
amc ambassador dpl,32617.05928,15,8,190,3850
dodge challenger se,30000,15,8,170,3563
plymouth 'cuda 340,33034.92261,14,8,160,3609
chevrolet monte carlo,30000,15,8,150,3761
buick estate wagon (sw),26608.32842,14,8,225,3086
toyota corona mark ii,36927.0666,24,4,95,2372
plymouth duster,12561.10337,22,6,95,2833
amc hornet,24260.62236,18,6,97,2774
ford maverick,14228.30388,21,6,85,2587
datsun pl510,15802.23935,27,4,88,2130
volkswagen 1131 deluxe sedan,27471.29241,26,4,46,1835
peugeot 504,40000,25,4,87,2672
audi 100 ls,35897.43951,24,4,90,2430
saab 99e,16905.84258,25,4,95,2375
bmw 2002,15047.98937,26,4,113,2234
amc gremlin,14045.89513,21,6,90,2648
ford f250,25797.48544,10,8,215,4615
chevy c20,40000,10,8,200,4376
dodge d200,24928.42041,11,8,210,4382
hi 1200d,45072.56865,9,8,193,4732
datsun pl510,16992.08152,27,4,88,2130
chevrolet vega 2300,13206.433,28,4,90,2264
toyota corona,27078.79795,25,4,95,2228
ford pinto,26417.43542,25,4,?,2046
amc gremlin,30000,19,6,100,2634
plymouth satellite custom,44534.97074,16,6,105,3439
chevrolet chevelle malibu,40000,17,6,100,3329
ford torino 500,30000,19,6,88,3302
amc matador,33970.66561,18,6,100,3288
chevrolet impala,40000,14,8,165,4209
pontiac catalina brougham,33793.72284,14,8,175,4464
ford galaxie 500,30000,14,8,153,4154
plymouth fury iii,15358.86347,14,8,150,4096
dodge monaco (sw),23414.4171,12,8,180,4955
ford country squire (sw),44211.91218,13,8,170,4746
pontiac safari (sw),20000,13,8,175,5140
amc hornet sportabout (sw),33328.42698,18,6,110,2962
chevrolet vega (sw),20000,22,4,72,2408
pontiac firebird,20000,19,6,100,3282
ford mustang,40000,18,6,88,3139
mercury capri 2000,27435.39589,23,4,86,2220
opel 1900,20000,28,4,90,2123
peugeot 304,36587.11859,30,4,70,2074
fiat 124b,23790.82939,30,4,76,2065
toyota corolla 1200,30000,31,4,65,1773
datsun 1200,40000,35,4,69,1613
volkswagen model 111,30000,27,4,60,1834
plymouth cricket,40000,26,4,70,1955
toyota corona hardtop,40000,24,4,95,2278
dodge colt hardtop,20000,25,4,80,2126
volkswagen type 3,26196.50504,23,4,54,2254
chevrolet vega,33019.20813,20,4,90,2408
ford pinto runabout,36453.30104,21,4,86,2226
chevrolet impala,40000,13,8,165,4274
pontiac catalina,26062.79358,14,8,175,4385
plymouth fury iii,34663.83946,15,8,150,4135
ford galaxie 500,20000,14,8,153,4129
amc ambassador sst,20000,17,8,150,3672
mercury marquis,16223.26834,11,8,208,4633
buick lesabre custom,5975.709529,13,8,155,4502
oldsmobile delta 88 royale,40000,12,8,160,4456
chrysler newport royal,33048.80117,13,8,190,4422
mazda rx2 coupe,25558.0312,19,3,97,2330
amc matador (sw),1598.07337,15,8,150,3892
chevrolet chevelle concours (sw),20000,13,8,130,4098
ford gran torino (sw),30000,13,8,140,4294
plymouth satellite custom (sw),26693.71811,14,8,150,4077
volvo 145e (sw),30000,18,4,112,2933
volkswagen 411 (sw),40000,22,4,76,2511
peugeot 504 (sw),16035.29706,21,4,87,2979
renault 12 (sw),44239.24934,26,4,69,2189
ford pinto (sw),20000,22,4,86,2395
datsun 510 (sw),36556.74415,28,4,92,2288
toyouta corona mark ii (sw),30000,23,4,97,2506
dodge colt (sw),20000,28,4,80,2164
toyota corolla 1600 (sw),35088.02866,27,4,88,2100
buick century 350,20000,13,8,175,4100
amc matador,30000,14,8,150,3672
chevrolet malibu,24364.52222,13,8,145,3988
ford gran torino,50306.15305,14,8,137,4042
dodge coronet custom,30000,15,8,150,3777
mercury marquis brougham,30000,12,8,198,4952
chevrolet caprice classic,35052.19209,13,8,150,4464
ford ltd,36489.40106,13,8,158,4363
plymouth fury gran sedan,53745.93806,14,8,150,4237
chrysler new yorker brougham,40000,13,8,215,4735
buick electra 225 custom,26260.63473,12,8,225,4951
amc ambassador brougham,40000,13,8,175,3821
plymouth valiant,23283.52468,18,6,105,3121
chevrolet nova custom,30000,16,6,100,3278
amc hornet,30000,18,6,100,2945
ford maverick,33726.80756,18,6,88,3021
plymouth duster,25211.02753,23,6,95,2904
volkswagen super beetle,35994.52571,26,4,46,1950
chevrolet impala,24794.07439,11,8,150,4997
ford country,20000,12,8,167,4906
plymouth custom suburb,34078.91407,13,8,170,4654
oldsmobile vista cruiser,34538.97449,12,8,180,4499
amc gremlin,17410.01544,18,6,100,2789
toyota carina,40000,20,4,88,2279
chevrolet vega,43478.05811,21,4,72,2401
datsun 610,20000,22,4,94,2379
maxda rx3,47897.3504,18,3,90,2124
ford pinto,40000,19,4,85,2310
mercury capri v6,30000,21,6,107,2472
fiat 124 sport coupe,20000,26,4,90,2265
chevrolet monte carlo s,26355.63972,15,8,145,4082
pontiac grand prix,27104.01182,16,8,230,4278
fiat 128,30000,29,4,49,1867
opel manta,30000,24,4,75,2158
audi 100ls,36717.9042,20,4,91,2582
volvo 144ea,30000,19,4,112,2868
dodge dart custom,40000,15,8,150,3399
saab 99le,30000,24,4,110,2660
toyota mark ii,30000,20,6,122,2807
oldsmobile omega,9006.648949,11,8,180,3664
plymouth duster,20000,20,6,95,3102
ford maverick,36836.73869,21,6,?,2875
amc hornet,30000,19,6,100,2901
chevrolet nova,34166.88994,15,6,100,3336
datsun b210,30000,31,4,67,1950
ford pinto,40000,26,4,80,2451
toyota corolla 1200,50430.44287,32,4,65,1836
chevrolet vega,30000,25,4,75,2542
chevrolet chevelle malibu classic,20000,16,6,100,3781
amc matador,35815.10738,16,6,110,3632
plymouth satellite sebring,30000,18,6,105,3613
ford gran torino,27027.84106,16,8,140,4141
buick century luxus (sw),20000,13,8,150,4699
dodge coronet custom (sw),30000,14,8,150,4457
ford gran torino (sw),43956.27279,14,8,140,4638
amc matador (sw),30000,14,8,150,4257
audi fox,27392.70399,29,4,83,2219
volkswagen dasher,40000,26,4,67,1963
opel manta,10064.41815,26,4,78,2300
toyota corona,20000,31,4,52,1649
datsun 710,22599.02117,32,4,61,2003
dodge colt,30000,28,4,75,2125
fiat 128,36359.77243,24,4,75,2108
fiat 124 tc,24285.00304,26,4,75,2246
honda civic,30000,24,4,97,2489
subaru,26414.50827,26,4,93,2391
fiat x1.9,8068.231747,31,4,67,2000
plymouth valiant custom,20000,19,6,95,3264
chevrolet nova,35725.20247,18,6,105,3459
mercury monarch,12388.96045,15,6,72,3432
ford maverick,30000,15,6,72,3158
pontiac catalina,40000,16,8,170,4668
chevrolet bel air,8844.146509,15,8,145,4440
plymouth grand fury,7250.279362,16,8,150,4498
ford ltd,40000,14,8,148,4657
buick century,43913.81789,17,6,110,3907
chevroelt chevelle malibu,16545.00951,16,6,105,3897
amc matador,25349.77729,15,6,110,3730
plymouth fury,30000,18,6,95,3785
buick skyhawk,34085.80564,21,6,110,3039
chevrolet monza 2+2,30000,20,8,110,3221
ford mustang ii,34458.38738,13,8,129,3169
toyota corolla,30000,29,4,75,2171
ford pinto,16968.55626,23,4,83,2639
amc gremlin,22601.17848,20,6,100,2914
pontiac astro,30000,23,4,78,2592
toyota corona,5579.395792,24,4,96,2702
volkswagen dasher,34295.65704,25,4,71,2223
datsun 710,24359.88558,24,4,97,2545
ford pinto,40000,18,6,97,2984
volkswagen rabbit,23555.60639,29,4,70,1937
amc pacer,25780.19772,19,6,90,3211
audi 100ls,16577.46275,23,4,95,2694
peugeot 504,30000,23,4,88,2957
volvo 244dl,40000,22,4,98,2945
saab 99le,17080.97861,25,4,115,2671
honda civic cvcc,25436.92235,33,4,53,1795
fiat 131,37495.99581,28,4,86,2464
opel 1900,23325.54657,25,4,81,2220
capri ii,30000,25,4,92,2572
dodge colt,33128.29366,26,4,79,2255
renault 12tl,30000,27,4,83,2202
chevrolet chevelle malibu classic,25546.68687,17.5,8,140,4215
dodge coronet brougham,20000,16,8,150,4190
amc matador,20000,15.5,8,120,3962
ford gran torino,47075.03525,14.5,8,152,4215
plymouth valiant,40000,22,6,100,3233
chevrolet nova,44633.99433,22,6,105,3353
ford maverick,50179.77946,24,6,81,3012
amc hornet,13136.84754,22.5,6,90,3085
chevrolet chevette,40000,29,4,52,2035
chevrolet woody,30000,24.5,4,60,2164
vw rabbit,20000,29,4,70,1937
honda civic,40000,33,4,53,1795
dodge aspen se,30000,20,6,100,3651
ford granada ghia,26411.47262,18,6,78,3574
pontiac ventura sj,26090.2785,18.5,6,110,3645
amc pacer d/l,30000,17.5,6,95,3193
volkswagen rabbit,23640.67856,29.5,4,71,1825
datsun b-210,34072.29922,32,4,70,1990
toyota corolla,22682.07397,28,4,75,2155
ford pinto,40000,26.5,4,72,2565
volvo 245,40000,20,4,102,3150
plymouth volare premier v8,22781.28062,13,8,150,3940
peugeot 504,26121.73551,19,4,88,3270
toyota mark ii,14501.04894,19,6,108,2930
mercedes-benz 280s,24937.67586,16.5,6,120,3820
cadillac seville,16557.22502,16.5,8,180,4380
chevy c10,30000,13,8,145,4055
ford f108,20000,13,8,130,3870
dodge d100,20000,13,8,150,3755
honda accord cvcc,16288.27844,31.5,4,68,2045
buick opel isuzu deluxe,25530.81022,30,4,80,2155
renault 5 gtl,20000,36,4,58,1825
plymouth arrow gs,30000,25.5,4,96,2300
datsun f-10 hatchback,30000,33.5,4,70,1945
chevrolet caprice classic,30000,17.5,8,145,3880
oldsmobile cutlass supreme,30000,17,8,110,4060
dodge monaco brougham,40000,15.5,8,145,4140
mercury cougar brougham,20000,15,8,130,4295
chevrolet concours,20000,17.5,6,110,3520
buick skylark,30000,20.5,6,105,3425
plymouth volare custom,26631.00577,19,6,100,3630
ford granada,36453.91629,18.5,6,98,3525
pontiac grand prix lj,16330.96319,16,8,180,4220
chevrolet monte carlo landau,40000,15.5,8,170,4165
chrysler cordoba,20000,15.5,8,190,4325
ford thunderbird,40000,16,8,149,4335
volkswagen rabbit custom,44398.38956,29,4,78,1940
pontiac sunbird coupe,22768.36337,24.5,4,88,2740
toyota corolla liftback,24051.71225,26,4,75,2265
ford mustang ii 2+2,30000,25.5,4,89,2755
chevrolet chevette,40000,30.5,4,63,2051
dodge colt m/m,36578.74535,33.5,4,83,2075
subaru dl,32735.65751,30,4,67,1985
volkswagen dasher,20000,30.5,4,78,2190
datsun 810,42883.25641,22,6,97,2815
bmw 320i,23927.44248,21.5,4,110,2600
mazda rx-4,23761.78388,21.5,3,110,2720
volkswagen rabbit custom diesel,30000,43.1,4,48,1985
ford fiesta,30000,36.1,4,66,1800
mazda glc deluxe,32914.19287,32.8,4,52,1985
datsun b210 gx,40000,39.4,4,70,2070
honda civic cvcc,30000,36.1,4,60,1800
oldsmobile cutlass salon brougham,30000,19.9,8,110,3365
dodge diplomat,40000,19.4,8,140,3735
mercury monarch ghia,34088.83024,20.2,8,139,3570
pontiac phoenix lj,30000,19.2,6,105,3535
chevrolet malibu,20000,20.5,6,95,3155
ford fairmont (auto),30000,20.2,6,85,2965
ford fairmont (man),40000,25.1,4,88,2720
plymouth volare,30000,20.5,6,100,3430
amc concord,30000,19.4,6,90,3210
buick century special,40000,20.6,6,105,3380
mercury zephyr,33560.68798,20.8,6,85,3070
dodge aspen,33043.99134,18.6,6,110,3620
amc concord d/l,25625.9722,18.1,6,120,3410
chevrolet monte carlo landau,50024.68887,19.2,8,145,3425
buick regal sport coupe (turbo),20000,17.7,6,165,3445
ford futura,35375.46418,18.1,8,139,3205
dodge magnum xe,26331.12328,17.5,8,140,4080
chevrolet chevette,49295.84839,30,4,68,2155
toyota corona,30000,27.5,4,95,2560
datsun 510,35110.41972,27.2,4,97,2300
dodge omni,24166.91123,30.9,4,75,2230
toyota celica gt liftback,14511.79472,21.1,4,95,2515
plymouth sapporo,36338.23478,23.2,4,105,2745
oldsmobile starfire sx,30000,23.8,4,85,2855
datsun 200-sx,47709.82064,23.9,4,97,2405
audi 5000,43261.82962,20.3,5,103,2830
volvo 264gl,44815.87905,17,6,125,3140
saab 99gle,47597.90265,21.6,4,115,2795
peugeot 604sl,23051.89547,16.2,6,133,3410
volkswagen scirocco,30000,31.5,4,71,1990
honda accord lx,20000,29.5,4,68,2135
pontiac lemans v6,20000,21.5,6,115,3245
mercury zephyr 6,37443.85589,19.8,6,85,2990
ford fairmont 4,20000,22.3,4,88,2890
amc concord dl 6,12840.57863,20.2,6,90,3265
dodge aspen 6,26927.11569,20.6,6,110,3360
chevrolet caprice classic,30000,17,8,130,3840
ford ltd landau,52480.06755,17.6,8,129,3725
mercury grand marquis,13073.58541,16.5,8,138,3955
dodge st. regis,8766.444652,18.2,8,135,3830
buick estate wagon (sw),24606.12234,16.9,8,155,4360
ford country squire (sw),25696.08888,15.5,8,142,4054
chevrolet malibu classic (sw),26157.23515,19.2,8,125,3605
chrysler lebaron town @ country (sw),14944.48848,18.5,8,150,3940
vw rabbit custom,40000,31.9,4,71,1925
maxda glc deluxe,20000,34.1,4,65,1975
dodge colt hatchback custom,44271.59324,35.7,4,80,1915
amc spirit dl,40000,27.4,4,80,2670
mercedes benz 300d,20000,25.4,5,77,3530
cadillac eldorado,44274.40748,23,8,125,3900
peugeot 504,24639.37404,27.2,4,71,3190
oldsmobile cutlass salon brougham,33062.12043,23.9,8,90,3420
plymouth horizon,30000,34.2,4,70,2200
plymouth horizon tc3,22906.70081,34.5,4,70,2150
datsun 210,30000,31.8,4,65,2020
fiat strada custom,30000,37.3,4,69,2130
buick skylark limited,33322.52047,28.4,4,90,2670
chevrolet citation,30000,28.8,6,115,2595
oldsmobile omega brougham,45923.53551,26.8,6,115,2700
pontiac phoenix,49548.62273,33.5,4,90,2556
vw rabbit,48911.31371,41.5,4,76,2144
toyota corolla tercel,20000,38.1,4,60,1968
chevrolet chevette,8400.696736,32.1,4,70,2120
datsun 310,34035.28481,37.2,4,65,2019
chevrolet citation,34799.28206,28,4,90,2678
ford fairmont,17032.34506,26.4,4,88,2870
amc concord,30000,24.3,4,90,3003
dodge aspen,30000,19.1,6,90,3381
audi 4000,40000,34.3,4,78,2188
toyota corona liftback,40000,29.8,4,90,2711
mazda 626,27206.13784,31.3,4,75,2542
datsun 510 hatchback,47697.07716,37,4,92,2434
toyota corolla,30000,32.2,4,75,2265
mazda glc,30000,46.6,4,65,2110
dodge colt,52035.83362,27.9,4,105,2800
datsun 210,26407.84375,40.8,4,65,2110
vw rabbit c (diesel),51239.14421,44.3,4,48,2085
vw dasher (diesel),40000,43.4,4,48,2335
audi 5000s (diesel),44494.54404,36.4,5,67,2950
mercedes-benz 240d,20000,30,4,67,3250
honda civic 1500 gl,20000,44.6,4,67,1850
renault lecar deluxe,32650.65157,40.9,4,?,1835
subaru dl,35335.98307,33.8,4,67,2145
vokswagen rabbit,30000,29.8,4,62,1845
datsun 280-zx,25944.32515,32.7,6,132,2910
mazda rx-7 gs,44730.24616,23.7,3,100,2420
triumph tr7 coupe,30000,35,4,88,2500
ford mustang cobra,24749.73654,23.6,4,?,2905
honda accord,40000,32.4,4,72,2290
plymouth reliant,43221.37222,27.2,4,84,2490
buick skylark,20000,26.6,4,84,2635
dodge aries wagon (sw),11460.90571,25.8,4,92,2620
chevrolet citation,40000,23.5,6,110,2725
plymouth reliant,33838.41277,30,4,84,2385
toyota starlet,30000,39.1,4,58,1755
plymouth champ,24040.39328,39,4,64,1875
honda civic 1300,26717.10084,35.1,4,60,1760
subaru,13900.61538,32.3,4,67,2065
datsun 210 mpg,17268.17018,37,4,65,1975
toyota tercel,50475.68786,37.7,4,62,2050
mazda glc 4,49150.57563,34.1,4,68,1985
plymouth horizon 4,30000,34.7,4,63,2215
ford escort 4w,20000,34.4,4,65,2045
ford escort 2h,20000,29.9,4,65,2380
volkswagen jetta,30000,33,4,74,2190
renault 18i,30000,34.5,4,?,2320
honda prelude,20000,33.7,4,75,2210
toyota corolla,30000,32.4,4,75,2350
datsun 200sx,30000,32.9,4,100,2615
mazda 626,40000,31.6,4,74,2635
peugeot 505s turbo diesel,20000,28.1,4,80,3230
volvo diesel,40000,30.7,6,76,3160
toyota cressida,30000,25.4,6,116,2900
datsun 810 maxima,32646.39951,24.2,6,120,2930
buick century,25571.46894,22.4,6,110,3415
oldsmobile cutlass ls,30000,26.6,8,105,3725
ford granada gl,30000,20.2,6,88,3060
chrysler lebaron salon,23723.77532,17.6,6,85,3465
chevrolet cavalier,27234.66428,28,4,88,2605
chevrolet cavalier wagon,42666.91377,27,4,88,2640
chevrolet cavalier 2-door,40000,34,4,88,2395
pontiac j2000 se hatchback,27074.39484,31,4,85,2575
dodge aries se,20000,29,4,84,2525
pontiac phoenix,33111.13808,27,4,90,2735
ford fairmont futura,51186.91521,24,4,92,2865
amc concord dl,37179.28797,23,4,?,3035
volkswagen rabbit l,33472.79144,36,4,74,1980
mazda glc custom l,44607.86606,37,4,68,2025
mazda glc custom,34686.42339,31,4,68,1970
plymouth horizon miser,48111.1021,38,4,63,2125
mercury lynx l,30000,36,4,70,2125
nissan stanza xe,34612.00874,36,4,88,2160
honda accord,30000,36,4,75,2205
toyota corolla,30000,34,4,70,2245
honda civic,30000,38,4,67,1965
honda civic (auto),30000,32,4,67,1965
datsun 310 gx,30000,38,4,67,1995
buick century limited,25289.83381,25,6,110,2945
oldsmobile cutlass ciera (diesel),9944.306349,38,6,85,3015
chrysler lebaron medallion,34986.21836,26,4,92,2585
ford granada l,22973.01943,22,6,112,2835
toyota celica gt,20000,32,4,96,2665
dodge charger 2.2,17421.6269,36,4,84,2370
chevrolet camaro,12550,27,4,90,2950
ford mustang gl,13432.5,27,4,86,2790
vw pickup,37000,44,4,52,2130
dodge rampage,47800,32,4,84,2295
ford ranger,46000,28,4,79,2625
chevy s-10,9000,31,4,82,2720
